"NCT ID",Title,Phase,"Date Added",Location,"Immunotherapy-centered Trial","Prior Immunotherapy Allowed","CRC-directed Trial","Program Status",Drugs
LUMINESCENCE,"Ipilimumab, Maraviroc and Nivolumab (LUMINESCENCE)","Phase 1",2019-01-25,,Yes,No,Yes,Recruiting,"Celsentri, Opdivo, Selzentry, Yervoy, Ipilimumab, maraviroc, Nivolumab"
NCT01061515,"Biweekly Intraperitoneal Oxaliplatin With Systemic Capecitabine and Bevacizumab for Patients With Peritoneal Carcinomatosis From Appendiceal or Colorectal Cancer","Phase 1",2010-02-03,"Washington University School of Medicine, Saint Louis, Missouri, 63110, United States
",No,Yes,Yes,"Active, not recruiting","Avastin, Eloxatin, Xeloda, Bevacizumab, capecitabine, Intraperitoneal Oxaliplatin"
NCT01174121,"Immunotherapy Using Tumor Infiltrating Lymphocytes for Patients With Metastatic Cancer","Phase 2",2010-08-03,"National Institutes of Health Clinical Center, 9000 Rockville Pike, Recruiting, Bethesda, Maryland, 20892, United States
",No,Yes,Yes,Recruiting,"Aldesleukin, Cyclophosphamide, Fludarabine, Pembrolizumab (Keytruda), Young TIL"
NCT01351103,"A Study of LGK974 in Patients With Malignancies Dependent on Wnt Ligands","Phase 1",2011-05-10,"UCLA School of Medicine, Recruiting, Los Angeles, California, 90024, United States
Sidney Kimmel Comprehensive Cancer Center Johns Hopkins, Recruiting, Baltimore, Maryland, 21287-0013, United States
Dana Farber Cancer Institute SC, Withdrawn, Boston, Massachusetts, 02115, United States
Dana Farber Cancer Institute SC-7, Completed, Boston, Massachusetts, 02215, United States
University of Michigan Comprehensive Cancer Center Onc Dept., Completed, Ann Arbor, Michigan, 48109-0944, United States
Karmanos Cancer Institute Wayne St, Completed, Detroit, Michigan, 48201, United States
Columbia University Medical Center, Recruiting, New York, New York, 10032, United States
University of Texas/MD Anderson Cancer Center MD Anderson 2, Recruiting, Houston, Texas, 77030-4009, United States
Novartis Investigative Site, Recruiting, Rotterdam, 3075 EA, Netherlands
Novartis Investigative Site, Recruiting, Utrecht, 3584CX, Netherlands
Novartis Investigative Site, Recruiting, Barcelona, Catalunya, 08035, Spain
Novartis Investigative Site, Recruiting, Barcelona, Catalunya, 08036, Spain
Novartis Investigative Site, Recruiting, Hospitalet de LLobregat, Catalunya, 08907, Spain
Novartis Investigative Site, Recruiting, Valencia, Comunidad Valenciana, 46010, Spain
Novartis Investigative Site, Recruiting, Madrid, 28009, Spain
Novartis Investigative Site, Recruiting, Madrid, 28040, Spain
Novartis Investigative Site, Recruiting, Madrid, 28050, Spain
",Yes,Yes,Yes,Recruiting,"LGK974, PDR001"
NCT01376505,"Vaccine Therapy in Treating Patients With Metastatic Solid Tumors","Phase 1",2011-06-20,"Ohio State University Medical Center, Recruiting, Columbus, Ohio, 43210, United States
",Yes,Yes,Yes,Recruiting,"Extension HER-2 vaccine trial at OBD, HER-2 vaccine"
NCT01697371,"Proton Therapy in the Treatment of Liver Metastases","Not Applicable",2012-10-02,"Loma Linda University Medical Center, Recruiting, Loma Linda, California, 92354, United States
",No,Yes,No,Recruiting,
NCT01968109,"An Investigational Immuno-therapy Study to Assess the Safety, Tolerability and Effectiveness of Anti-LAG-3 With and Without Anti-PD-1 in the Treatment of Solid Tumors","Phase 1/Phase 2",2013-10-23,"UCSD Moores Cancer Center, La Jolla, California, 92093-0698, United States
University Of Colorado, Aurora, Colorado, 80045, United States
H Lee Moffitt Cancer Center and Research Institute, Tampa, Florida, 33612, United States
University Of Chicago Medical Center, Chicago, Illinois, 60637, United States
Advocate Health and Hospitals Corporation, Park Ridge, Illinois, 60068, United States
Sidney Kimmel Comprehensive Cancer Center At Johns Hopkins, Baltimore, Maryland, 21287, United States
Dana-Farber Cancer Institute, Boston, Massachusetts, 02215, United States
Karmanos Cancer Institute, Detroit, Michigan, 48201, United States
Mayo Clinic - PPDS, Rochester, Minnesota, 55905-0001, United States
Washington University School Of Medicine, Saint Louis, Missouri, 63110, United States
Memorial Sloan Kettering Nassau, New York, New York, 10065, United States
Providence Portland Med Ctr, Portland, Oregon, 97213, United States
Lehigh Valley Hospital and Health Network, Allentown, Pennsylvania, 18103, United States
UPMC Eye and Ear Institute, Pittsburgh, Pennsylvania, 15232-1305, United States
Baylor Sammons Cancer Center, Dallas, Texas, 75246, United States
Md Anderson Can Cnt, Houston, Texas, 77030-4009, United States
University Of Washington Cancer Care Alliance, Seattle, Washington, 98109, United States
Melanoma Institute Australia, North Sydney, New South Wales, 2060, Australia
Gallipoli Medical Research Foundation, Greenslopes, Queensland, 4120, Australia
Tasman Oncology Research Pty Ltd, Southport, Queensland, 4215, Australia
Peter MacCallum Cancer Centre, Melbourne, Victoria, 3000, Australia
Linear Clinical Research Ltd, Nedlands, Western Australia, 6009, Australia
Local Institution, Wien, 1090, Austria
Local Institution, Toronto, Ontario, M5G 2M9, Canada
CHU de Quebec - Universite Laval, Quebec, G1R 2J6, Canada
Local Institution, Copenhagen, 2100, Denmark
Local Institution, Herlev, 2730, Denmark
Local Institution, Helsinki, 00290, Finland
Local Institution, Marseille Cedex 5, 13385, France
Local Institution, Nantes Cedex 01, 44093, France
Local Institution, Pierre Benite Cedex, 69495, France
Local Institution, Toulouse Cedex 9, 31059, France
Local Institution, Villejuif, 94805, France
Local Institution, Essen, 45122, Germany
Local Institution, Heilbronn, 74078, Germany
Local Institution, Wuerzburg, 97080, Germany
Istituto Europeo Di Oncologia, Milano, 20141, Italy
Istituto Nazionale Tumori Fondazione Pascale, Napoli, 80131, Italy
Istituto Oncologico Veneto - I.R.C.C.S., Padova, 35128, Italy
Local Institution, Nagoya-shi, Aichi, 4668560, Japan
Local Institution, Sapporo-shi, Hokkaido, 0608543, Japan
Local Institution, Sunto-gun, Shizuoka, 4118777, Japan
Local Institution, Chuo-ku, Tokyo, 1040045, Japan
Antoni Van Leeuwenhoek Ziekenhuis, Amsterdam, 1066 CX, Netherlands
Local Institution, Oslo, 0379, Norway
H. Univ. Vall dHebron, Barcelona, 08035, Spain
Hospital Universitario Virgen De La Victoria, Malaga, 29010, Spain
Clinica Universidad de Navarra, Pamplona, 31008, Spain
Local Institution, Lausanne, 1011, Switzerland
Local Institution, Zuerich, 8091, Switzerland
University College Hospital, London, Greater London, NW1 2PG, United Kingdom
Royal Marsden Nhs Foundation Trust, London, Greater London, SW3 6JJ, United Kingdom
Christie Hospital Nhs Trust, Manchester, M20 4BX, United Kingdom
",Yes,Yes,No,"Active, not recruiting","Opdivo, BMS-986213, Nivolumab, Relatlimab"
NCT02009449,"A Phase 1 Study of Pegilodecakin (LY3500518) in Participants With Advanced Solid Tumors","Phase 1",2013-12-12,"UCLA Medical Hematology & Oncology, Los Angeles, California, 90024, United States
UCSF, San Francisco, California, United States
Sarah Cannon Research Institute at HealthONE, Denver, Colorado, 80218, United States
Florida Cancer Specialists & Research Institute, Sarasota, Florida, 34232, United States
Dana Farber Cancer Institute, Boston, Massachusetts, 02215, United States
Memorial Sloan Kettering Cancer Center, New York, New York, 10065, United States
Stephenson Cancer Center at Oklahoma University TSET Phase 1 Program, Oklahoma City, Oklahoma, 73104, United States
Sarah Cannon Research Institute, Nashville, Tennessee, 37203, United States
The University of Texas M.D. Anderson Cancer Center, Houston, Texas, 77030, United States
South Texas Accelerated Research Therapeutics, San Antonio, Texas, 78229, United States
",Yes,Yes,No,"Active, not recruiting","capecitabine, FOLFOX (Oxaliplatin/Leucovorin/5-Fluorouracil), Gemcitabine/carboplatin, gemcitabine/nab-paclitaxel, Nivolumab, Paclitaxel, Paclitaxel or Docetaxel and Carboplatin or Cisplatin, Pazopanib, Pegilodecakin, Pembrolizumab"
NCT02060188,"A Study of Nivolumab Alone or Nivolumab Combination Therapy in Colon Cancer That Has Come Back or Has Spread","Phase 2",2014-02-11,"Banner MD Anderson Cancer Center, Gilbert, Arizona, 85234, United States
USC Norris Comprehensive Cancer Center, Los Angeles, California, 90033, United States
Pacific Hematology Oncology Associates, San Francisco, California, 94115, United States
Emory University, Atlanta, Georgia, 30322, United States
Dana Farber Cancer Institute., Boston, Massachusetts, 02114, United States
Massachusetts General Hospital, Boston, Massachusetts, 02114, United States
Allina Health System, Minneapolis, Minnesota, 55407, United States
Duke University Office of Research Administration, Durham, North Carolina, 27710, United States
Novant Health Oncology Specialists, Winston-Salem, North Carolina, 27103, United States
Providence Cancer Center Oncology and Hematology Care- Eastside, Portland, Oregon, 97225, United States
Lehigh Valley Hospital, Allentown, Pennsylvania, 18103, United States
University Of Pittsburgh Cancer Institute, Pittsburgh, Pennsylvania, 15232, United States
Vanderbilt University Med Ctr, Nashville, Tennessee, 37232, United States
The University Of Texas MD Anderson Cancer Center, Houston, Texas, 77030-4009, United States
Westmead Hospital, Westmead, New South Wales, 2145, Australia
Tasman Oncology Research Pty Ltd, Southport, Queensland, 4215, Australia
The Royal Melbourne Hospital, Parkville, Victoria, 3050, Australia
Local Institution, Brussels, 1000, Belgium
Local Institution, Brussels, 1090, Belgium
Local Institution, Leuven, 3000, Belgium
Local Institution, Edmonton, Alberta, T6G 1Z2, Canada
Local Institution, Toronto, Ontario, M5G 1X5, Canada
Local Institution, Paris, 75012, France
Local Institution, Dublin 4, Ireland
Local Institution, Dublin 9, Ireland
Local Institution, Galway, Ireland
Local Institution, Candiolo, TO, 10060, Italy
Local Institution, Modena, 41124, Italy
Local Institution, Padova, Padova, Italy
Local Institution, Madrid, 28009, Spain
Local Institution, Madrid, 28050, Spain
Local Institution, Sevilla, 41013, Spain
",Yes,No,No,"Active, not recruiting","Cotellic, Darzalex, Opdivo, Yervoy, BMS-986016, Cobimetinib, Daratumumab, Ipilimumab, Nivolumab"
NCT02091141,"My Pathway: A Study Evaluating Herceptin/Perjeta, Tarceva, Zelboraf/Cotellic, Erivedge, Alecensa, and Tecentriq Treatment Targeted Against Certain Molecular Alterations in Participants With Advanced Solid Tumors","Phase 2",2014-03-19,"Western Regional Medical Center at Cancer Treatment Centers of America, Goodyear, Arizona, 85338, United States
Mayo Clinic Arizona, Phoenix, Arizona, 85259, United States
Highlands Oncology Group, Springdale, Arkansas, 72762, United States
Science 37, Inc, Culver City, California, 90230, United States
City of Hope Comprehensive Cancer Center, Duarte, California, 91010, United States
Moores UCSD Cancer Center; Dept Clinical Trials Office, La Jolla, California, 92093-0698, United States
Eisenhower Medical Center, Rancho Mirage, California, 92270, United States
Kaiser Permanente - San Francisco Medical Center, San Francisco, California, 94118, United States
Stanford Comprehensive Cancer Center, Stanford, California, 94305, United States
Kaiser Permanente - Vallejo, Vallejo, California, 94589, United States
University of Colorado, Aurora, Colorado, 80045-2517, United States
SCRI Florida Cancer Specialists South, Fort Myers, Florida, 33916, United States
Mayo Clinic, Jacksonville, Florida, 32224, United States
Florida Hospital Cancer Inst; Memorial System Onc Clin Rsch, Orlando, Florida, 32804, United States
Florida Cancer Specialist, North Region, Saint Petersburg, Florida, 33705, United States
Florida Cancer Specialists, Research Department, West Palm Beach, Florida, 33401, United States
University Cancer & Blood Center, LLC; Research, Athens, Georgia, 30607, United States
Northeast Georgia Medical Center; Oncology Research Dept-5C, Gainesville, Georgia, 30501, United States
Southeastern Regional Medical Center, Inc., Newnan, Georgia, 30265, United States
Northwestern University; Robert H. Lurie Comp Can Ctr; Northwestern Medicine Development Inst, Chicago, Illinois, 60611, United States
University Of Chicago Medical Center; Section Of Hematology/Oncology, Chicago, Illinois, 60637, United States
Midwestern Regional Med Center, Zion, Illinois, 60099, United States
Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins, Baltimore, Maryland, 21287, United States
Mayo Foundation, Rochester, Minnesota, 55905, United States
Research Medical Center - Antibiotic Research Associates, Inc., Kansas City, Missouri, 64132, United States
Memorial Sloan Kettering - Monmouth, Middletown, New Jersey, 07748, United States
University of New Mexico Comprehensive Cancer Center, Albuquerque, New Mexico, 87102, United States
University of New Mexico Comprehensive Cancer Center - Albuquerque Cedar Street; Drug Shipment, Albuquerque, New Mexico, 87106, United States
University of New Mexico Comprehensive Cancer Center - Albuquerque Lang NE; Drug Shipment, Albuquerque, New Mexico, 87109, United States
University of New Mexico, Albuquerque, New Mexico, 87131, United States
San Juan Oncology Associates, Farmington, New Mexico, 87401, United States
Memorial Sloan Kettering Cancer Center at Westchester, Harrison, New York, 10604, United States
Weill Cornell Univ Medical Ctr; Breast Cancer Center, New York, New York, 10021, United States
Herbert Irving Comprehensive Cancer Center; Herbert Irving Pavillion, New York, New York, 10032, United States
Memorial Sloan Kettering Cancer Center, New York, New York, 10065, United States
Univ No Carolina School of Med; Physicians Office Bldg, Chapel Hill, North Carolina, 27599-7305v, United States
Duke University Medical Center, Durham, North Carolina, 27710, United States
Wake Forest Univ Health Svcs; Internal Medicine, Winston-Salem, North Carolina, 27157, United States
Sanford Roger Maris Cancer Center, Fargo, North Dakota, 58102, United States
Oncology Hematology Care Inc, Cincinnati, Ohio, 45242, United States
Cleveland Clinic, Cleveland, Ohio, 44106, United States
University Hospitals of Cleveland, Cleveland, Ohio, 44106, United States
University of Oklahoma Health Sciences Center, Oklahoma City, Oklahoma, 73104, United States
Providence Portland Medical Center, Portland, Oregon, 97213, United States
Abramson Cancer Center, Philadelphia, Pennsylvania, 19104, United States
Thomas Jefferson University Hospital, Philadelphia, Pennsylvania, 19107, United States
Eastern Regional Medical Ctr, Philadelphia, Pennsylvania, 19124, United States
UPMC - Hillman Cancer Center, Pittsburgh, Pennsylvania, 15232, United States
Abington Mem Hosp-Abington; Rose. Can Ctr,Gyn Onc Ins, Willow Grove, Pennsylvania, 19090, United States
Sanford Cancer Cnt Onco Clinic, Sioux Falls, South Dakota, 57104, United States
SCRI Tennessee Oncology Chattanooga, Chattanooga, Tennessee, 37404, United States
West Clinic, Germantown, Tennessee, 38138, United States
Tennessee Cancer Specialists, Knoxville, Tennessee, 37920, United States
Tennessee Onc., PLLC - SCRI, Nashville, Tennessee, 37203, United States
Vanderbilt Ingram Cancer Clinic, Nashville, Tennessee, 37232, United States
The Center for Cancer and Blood Disorders - Fort Worth, Fort Worth, Texas, 76104, United States
MD Anderson, Houston, Texas, 77030, United States
Virginia Cancer Institute, Richmond, Virginia, 23229, United States
Northwest Medical Specialties, Tacoma, Washington, 98405, United States
University of Wisconsin, Madison, Wisconsin, 53792, United States
Medical College of Wisconsin, Milwaukee, Wisconsin, 53226, United States
",No,Yes,No,"Active, not recruiting","Cotellic, Herceptin, Perjeta, Zelboraf, Alectinib, Atezolizumab, Cobimetinib, Erlotinib, Pertuzumab, Trastuzumab, Vemurafenib, Vismodegib"
